OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9416559,42754,2012/05/23 08:00:00+00,2864,,280035000,212 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0037,ZNG-ZONING,ZNG-MALLVN
9416560,42753,2012/05/17 08:00:00+00,1205,,530068000,520  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0036,ZNG-ZONING,ZNG-MALLVN
9416561,42752,2012/05/07 08:00:00+00,1542.5,,280016000,118  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0035,ZNG-ZONING,ZNG-MALLVN
9416563,42750,2012/04/20 08:00:00+00,1700,,280052000,422 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0033,ZNG-ZONING,ZNG-MALLVN
9416564,42749,2012/04/17 08:00:00+00,2297.5,,280018000,112 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0032,ZNG-ZONING,ZNG-MALLVN
9416565,42748,2012/04/11 08:00:00+00,1188.5,,280026100,109 2ND ST SE,OPEN,0,Downtown Mall Vendor,,VEN12-0031,ZNG-ZONING,ZNG-MALLVN
9416568,42745,2012/03/20 08:00:00+00,341,,330263000,200 W MARKET ST,OPEN,0,Downtown Mall Vendor,,VEN12-0028,ZNG-ZONING,ZNG-MALLVN
9416569,42744,2012/03/20 08:00:00+00,2225,,280041000,310-312 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0027,ZNG-ZONING,ZNG-MALLVN
9416570,42743,2012/03/20 08:00:00+00,2330,,530059000,401  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0026,ZNG-ZONING,ZNG-MALLVN
9416571,42742,2012/03/20 08:00:00+00,1625,,280026000,120 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0025,ZNG-ZONING,ZNG-MALLVN
9416572,42741,2012/03/20 08:00:00+00,2525,,280023000,110  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0024,ZNG-ZONING,ZNG-MALLVN
9416573,42740,2012/03/20 08:00:00+00,4325,,280026000,120 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0023,ZNG-ZONING,ZNG-MALLVN
9416574,42739,2012/03/16 08:00:00+00,1520,,330272000,219  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0022,ZNG-ZONING,ZNG-MALLVN
9416575,42738,2012/03/15 08:00:00+00,425,,330228000,317 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0021,ZNG-ZONING,ZNG-MALLVN
9416576,42737,2012/03/15 08:00:00+00,6200,,330258000,109 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0020,ZNG-ZONING,ZNG-MALLVN
9416577,42736,2012/03/15 08:00:00+00,1415,,530068000,512  EAST MAIN STREET,OPEN,0,Downtown Mall Vendor,,VEN12-0019,ZNG-ZONING,ZNG-MALLVN
9416578,42735,2012/03/14 08:00:00+00,3725,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0018,ZNG-ZONING,ZNG-MALLVN
9416579,42734,2012/03/14 08:00:00+00,1505,,330269000,213 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0017,ZNG-ZONING,ZNG-MALLVN
9416580,42733,2012/03/13 08:00:00+00,2525,,280041000,310-312 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0016,ZNG-ZONING,ZNG-MALLVN
9416581,42732,2012/03/12 08:00:00+00,2525,,280049000,412  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0015,ZNG-ZONING,ZNG-MALLVN
9416582,42731,2012/03/12 08:00:00+00,1685,,330266000,201-207 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0014,ZNG-ZONING,ZNG-MALLVN
9416583,42730,2012/03/12 08:00:00+00,845,,330226000,321  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0013,ZNG-ZONING,ZNG-MALLVN
9416585,42728,2012/03/07 10:00:00+00,1235,,530062000,421  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0011,ZNG-ZONING,ZNG-MALLVN
9416586,42727,2012/03/07 10:00:00+00,2712.5,,330260000,119  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0010,ZNG-ZONING,ZNG-MALLVN
9416587,42726,2012/03/06 10:00:00+00,12122.5,,330231000,303  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0009,ZNG-ZONING,ZNG-MALLVN
9416588,42725,2012/03/05 10:00:00+00,3233,,530061000,415  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0008,ZNG-ZONING,ZNG-MALLVN
9416590,42723,2012/03/01 10:00:00+00,3500,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0006,ZNG-ZONING,ZNG-MALLVN
9416591,42722,2012/03/01 10:00:00+00,3500,,330240100,201 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0005,ZNG-ZONING,ZNG-MALLVN
9416592,42721,2012/02/29 10:00:00+00,650,,280052000,422 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0004,ZNG-ZONING,ZNG-MALLVN
9416593,42720,2012/02/29 10:00:00+00,1205,,530091LF0,507 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0003,ZNG-ZONING,ZNG-MALLVN
9416594,42719,2012/02/01 10:00:00+00,175,,330274000,227  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0002,ZNG-ZONING,ZNG-MALLVN
9416595,42718,2012/02/01 10:00:00+00,1840,,330274000,227  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN12-0001,ZNG-ZONING,ZNG-MALLVN
9416596,42717,2011/12/27 10:00:00+00,750,,330274000,227  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0040,ZNG-ZONING,ZNG-MALLVN
9416597,42716,2011/12/21 10:00:00+00,1200,,280035000,212 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0039,ZNG-ZONING,ZNG-MALLVN
9416601,42712,2011/11/22 10:00:00+00,1200,,530061000,415  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0035,ZNG-ZONING,ZNG-MALLVN
