OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9411846,47592,2025/05/18 00:29:34+00,0,,268452,101 E MARKET ST,OPEN,0,Temporary Parking Spot Closure,,TE-25-0196,TE-TRAFFIC,TE-PARKING
9411847,47591,2025/05/17 01:06:18+00,286.5,,,117 4th Street NE,OPEN,0,Sign,,BC-25-0118,C-BLDG,C-SIGN
9411861,47577,2025/05/15 23:37:28+00,188.6,,282335,499 W MAIN ST,OPEN,0,Gas Other,A2 - Hospitality including Restaurants and Hotels,GC-25-0015,C-GAS,C-GASOTH
9411863,47575,2025/05/15 23:03:54+00,276.43,,282335,499 W MAIN ST,OPEN,0,Electrical Other,A2 - Hospitality including Restaurants and Hotels,EC-25-0067,C-ELEC,C-ELECOTH
9411867,47571,2025/05/15 17:56:52+00,175.75,,282335,499 W MAIN ST,OPEN,0,Mechanical Other,A2 - Hospitality including Restaurants and Hotels,MC-25-0044,C-MECH,C-MECHOTH
9411870,47568,2025/05/15 03:04:25+00,211.5,,284954,317 E WATER ST # 100,OPEN,0,Change of Use Permit,B - Business,BC-25-0116,C-BLDG,C-CHNGUSE
9411875,47563,2025/05/14 22:16:38+00,135,,284954,317 E Water St # 100,OPEN,0,New C.O. Permit for Existing Structure,B - Business,BC-25-0115,C-BLDG,C-NEWCO
9411885,47553,2025/05/14 00:57:47+00,442.79,,163685,424 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PC-25-0043,C-PLUMB,C-PLMBNEW
9411886,47552,2025/05/14 00:49:57+00,442.79,,163684,450 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PC-25-0042,C-PLUMB,C-PLMBNEW
9411887,47551,2025/05/14 00:35:20+00,417.8,,163685,424 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PR-25-0119,R-PLUMB,R-PLMBNEW
9411888,47550,2025/05/14 00:23:54+00,453.5,,163686,455 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PC-25-0041,C-PLUMB,C-PLMBNEW
9411907,47531,2025/05/13 17:56:44+00,86.5,,145068,1193 5TH ST SW,OPEN,0,Ductwork Only - New or Modify,B - Business,MC-25-0043,C-MECH,C-DUCTWORK
9411912,47525,2025/05/12 21:07:09+00,40,,243461,402 14TH ST NW UNIT 3B,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0185,TE-TRAFFIC,TE-PARKING
9411917,47520,2025/05/12 18:31:47+00,40,,,100 East Block Market Street,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0184,TE-TRAFFIC,TE-PARKING
9411919,47518,2025/05/12 14:36:18+00,243.62,,270754,1339 E MARKET ST,OPEN,0,Modify Existing Plumbing System,R3 - Residential Occupancy (Commercial Code),PR-25-0118,R-PLUMB,R-PLMBALT
9411923,47514,2025/05/09 19:44:26+00,25,,E MAIN ST,104 E MAIN ST,OPEN,0,Downtown Mall Vendor,,ZA-25-0074,ZNG-ZONING,ZNG-MALLVN
9411926,47511,2025/05/09 18:21:52+00,243.62,,138613,1339 E MARKET ST,OPEN,0,Mini-Split System,R5 - One and Two Family Dwellings,MR-25-0099,R-MECH,R-MINISPLT
9411929,47508,2025/05/09 15:11:27+00,239.3,,252931,200 W MARKET ST,OPEN,0,Mechanical Other,B - Business,MC-25-0042,C-MECH,C-MECHOTH
9411938,47498,2025/05/08 21:41:43+00,375,,2ND ST NW,Downtown Mall,OPEN,0,ADC/IPP COA,,HST25-0078,HST-HSTRC,HST-COA
9411950,47486,2025/05/07 22:03:59+00,0,,,240 W MAIN ST UNIT 600,OPEN,0,Street Cut Permit,,EG-25-0046,EG-PWENG,EG-STREET
9411952,47484,2025/05/07 21:30:49+00,0,,263722,240 W MAIN ST UNIT 600,OPEN,0,Temporary Street/Sidewalk Closure,,TE-25-0176,TE-TRAFFIC,TE-STREETS
9411953,47483,2025/05/07 21:20:05+00,296.42,,285724,820 W MAIN ST,OPEN,0,Other,U - Utility and Miscellaneous,BC-25-0108,C-BLDG,C-BLDGOTH
9411964,47472,2025/05/07 00:31:46+00,75,,259660,1154 5TH ST SW,OPEN,0,Sign,,ZA-25-0068,ZNG-ZONING,ZNG-SIGN
9411968,47468,2025/05/06 18:01:16+00,100,,,E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0175,TE-TRAFFIC,TE-PARKING
9411970,47466,2025/05/06 17:58:13+00,80,,,E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0173,TE-TRAFFIC,TE-PARKING
9411971,47465,2025/05/06 17:52:20+00,80,,,E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0172,TE-TRAFFIC,TE-PARKING
9411972,47464,2025/05/06 17:40:54+00,100,,,E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0171,TE-TRAFFIC,TE-PARKING
9411974,47462,2025/05/06 17:29:36+00,80,,,E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0169,TE-TRAFFIC,TE-PARKING
9411975,47461,2025/05/06 17:26:56+00,80,,,E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0168,TE-TRAFFIC,TE-PARKING
9411978,47458,2025/05/06 01:27:11+00,500,,267866,1000 2ND ST SE,OPEN,0,Critical Slope Special Exception,,PL-25-0066,PL-PLANNG,PL-CSLOPE
9411997,47439,2025/05/02 23:01:27+00,86.5,,264665,300 E MAIN ST,OPEN,0,Electrical Other,B - Business,EC-25-0061,C-ELEC,C-ELECOTH
9412013,47423,2025/05/01 19:34:02+00,239.3,,254900,112 3RD ST NE,OPEN,0,Interior Renovations,B - Business,BC-25-0103,C-BLDG,C-INTRENO
9412014,47422,2025/05/01 19:23:18+00,239.3,,254900,110 3RD ST NE,CLOSED,0,Modify Existing Plumbing System,,PC-25-0036,C-PLUMB,C-PLMBALT
9412019,47417,2025/05/01 17:29:18+00,200,,E MAIN ST,Downtown Mall,CLOSED,0,Downtown Mall Vendor,,ZA-25-0066,ZNG-ZONING,ZNG-MALLVN
9412023,47413,2025/05/01 00:31:30+00,50,,266068,358 14TH ST NW,OPEN,0,Temporary Street/Sidewalk Closure,,TE-25-0162,TE-TRAFFIC,TE-STREETS
9412054,47382,2025/04/28 22:37:41+00,60,,247586,301 E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0154,TE-TRAFFIC,TE-PARKING
9412055,47381,2025/04/28 21:57:53+00,375,,330276000,218 WEST MARKET STREET,OPEN,0,ADC/IPP COA,R1 - Hotels Motels and Boarding Houses,HST25-0076,HST-HSTRC,HST-COA
9412073,47363,2025/04/25 22:57:42+00,275,,248730,509 E WATER ST,OPEN,0,Sign,,ZA-25-0061,ZNG-ZONING,ZNG-SIGN
9412074,47362,2025/04/25 22:50:10+00,286.5,,248730,509 E WATER ST,CANCELLED,0,Sign,B - Business,BC-25-0100,C-BLDG,C-SIGN
9412084,47351,2025/04/25 00:05:07+00,129.34,,138613,1339 E MARKET ST,OPEN,0,Asbestos Abatement,R5 - One and Two Family Dwellings,BR-25-0193,R-BLDG,R-ASBEST
9412094,47341,2025/04/23 22:05:20+00,40,,,100 Block East Market Street ,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0145,TE-TRAFFIC,TE-PARKING
9412114,47321,2025/04/22 18:09:14+00,100,,,E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0135,TE-TRAFFIC,TE-PARKING
9412118,47317,2025/04/22 18:00:51+00,80,,258323,805 E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0133,TE-TRAFFIC,TE-PARKING
9412130,47305,2025/04/22 16:36:20+00,204.29,,266728,300 W MAIN ST # 102,OPEN,0,Complete Furnace System,B - Business,MC-25-0036,C-MECH,C-FURNACE
9412131,47304,2025/04/22 16:33:31+00,189.91,,266728,300 W MAIN ST # 102,OPEN,0,Mini-Split System,R2 - Apartments/Fraternities and Sororities etc,MC-25-0035,C-MECH,C-MINISPLT
9412134,47301,2025/04/22 00:43:25+00,250,,,4TH ST SW,OPEN,0,Temporary Street/Sidewalk Closure,,TE-25-0131,TE-TRAFFIC,TE-STREETS
9412152,47283,2025/04/20 20:59:30+00,1554.5,,259552,503 W MAIN ST,OPEN,0,Interior Renovations,R3 - Residential Occupancy (Commercial Code),BC-25-0099,C-BLDG,C-INTRENO
9412153,47282,2025/04/20 20:38:40+00,1554.5,,259552,503 W MAIN ST,OPEN,0,Modify Existing Plumbing System,R3 - Residential Occupancy (Commercial Code),PC-25-0031,C-PLUMB,C-PLMBALT
9412154,47281,2025/04/20 06:14:25+00,0,,247395,204 E MARKET ST,OPEN,0,Temporary Parking Spot Closure,,TE-25-0129,TE-TRAFFIC,TE-PARKING
9412155,47280,2025/04/19 21:39:58+00,0,,,111 east water st,OPEN,0,Temporary Parking Spot Closure,,TE-25-0128,TE-TRAFFIC,TE-PARKING
9412156,47279,2025/04/19 17:34:07+00,100,,255240,1223 W MAIN ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0127,TE-TRAFFIC,TE-PARKING
9412175,47260,2025/04/17 18:40:33+00,915,,247587,200 2ND ST NE,OPEN,0,Fire Other,E - Educational,F-25-0032,F-FIRE,F-FIREOTH
9412186,47249,2025/04/16 22:56:41+00,60,,254634,206 W MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0122,TE-TRAFFIC,TE-PARKING
9412197,47238,2025/04/16 16:23:33+00,0,,249541,112 3RD ST NE,CLOSED,0,Vehicular Access to Mall,,TE-25-0120,TE-TRAFFIC,TE-MALL
9412198,47237,2025/04/16 01:38:00+00,172.18,,140447,1329 E MARKET ST,OPEN,0,Modify Electrical Wiring System,R5 - One and Two Family Dwellings,ER-25-0179,R-ELEC,R-ELECALT
9412199,47236,2025/04/16 00:42:18+00,0,,264665,300 E MAIN ST,CLOSED,0,Other,,ER-25-0178,R-ELEC,R-ELECOTH
9412200,47235,2025/04/15 23:33:35+00,0,,249578,201 E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0119,TE-TRAFFIC,TE-PARKING
9412206,47229,2025/04/15 22:24:13+00,0,,253389,300 E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0116,TE-TRAFFIC,TE-PARKING
9412210,47225,2025/04/15 20:20:06+00,207.88,,249541,112 3RD ST NE,OPEN,0,Single Appliance - Change Out,B - Business,MC-25-0039,C-MECH,C-MECHCO
9412212,47223,2025/04/15 20:04:14+00,0,,249541,112 3RD ST NE,CLOSED,0,Temporary Street/Sidewalk Closure,,TE-25-0115,TE-TRAFFIC,TE-STREETS
9412227,47207,2025/04/11 23:51:50+00,200,,E MAIN ST,E MAIN ST,CLOSED,0,Downtown Mall Vendor,,ZA-25-0051,ZNG-ZONING,ZNG-MALLVN
9412241,47192,2025/04/10 21:57:56+00,600,,247858,606 E MARKET ST,OPEN,0,Single Family Detached,,BR-25-0172,R-BLDG,R-SFDETACH
9412242,47191,2025/04/10 21:53:55+00,148.94,,262248,1513 E MARKET ST,OPEN,0,Deck,R5 - One and Two Family Dwellings,BR-25-0171,R-BLDG,R-DECK
9412248,47185,2025/04/10 16:07:07+00,0,,247587,200 2ND ST NE,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0113,TE-TRAFFIC,TE-PARKING
9412249,47184,2025/04/10 15:44:40+00,0,,247587,200 2ND ST NE,OPEN,0,Temporary Street/Sidewalk Closure,,TE-25-0112,TE-TRAFFIC,TE-STREETS
9412267,47166,2025/04/08 23:08:32+00,40,,248778,123 E MAIN ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0109,TE-TRAFFIC,TE-PARKING
9412268,47165,2025/04/08 22:54:54+00,120,,248778,123 E MAIN ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0108,TE-TRAFFIC,TE-PARKING
9412269,47164,2025/04/08 22:33:58+00,305,,249578,201 E MARKET ST,OPEN,0,Single Appliance - Change Out,B - Business,MC-25-0029,C-MECH,C-MECHCO
9412277,47155,2025/04/08 16:19:10+00,179.32,,145068,1193 5TH ST SW,OPEN,0,Modify Existing Plumbing System,B - Business,PC-25-0023,C-PLUMB,C-PLMBALT
9412288,47144,2025/04/07 20:53:58+00,0,,246594,853 W MAIN ST UNIT 407,CANCELLED,0,Bond Release/Reduction,,PL-25-0056,PL-PLANNG,PL-BOND
9412290,47142,2025/04/07 17:13:11+00,1258.19,,262718,208 E MAIN ST,OPEN,0,Roof Replacement,M - Retail,BC-25-0089,C-BLDG,C-ROOF
9412295,47137,2025/04/05 02:48:40+00,500,,,3RD ST NE,CLOSED,0,Downtown Mall Vendor,,ZA-25-0049,ZNG-ZONING,ZNG-MALLVN
9412332,47100,2025/04/02 21:56:35+00,0,,262735,117 4TH ST NE UNIT B,CLOSED,0,Sign,,BC-25-0083,C-BLDG,C-SIGN
9412334,47098,2025/04/02 21:12:27+00,0,,254645,1132 E MARKET ST # 7,CLOSED,0,Sign,,BC-25-0082,C-BLDG,C-SIGN
9412366,47066,2025/03/31 21:24:24+00,0,,242706,111 E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0096,TE-TRAFFIC,TE-PARKING
9412367,47065,2025/03/31 21:19:56+00,141.34,,256467,1819 E MARKET ST,CLOSED,0,Electrical Other,A3 - Public Assembly,EC-25-0047,C-ELEC,C-ELECOTH
9412374,47058,2025/03/31 18:40:24+00,0,,,W MAIN ST,OPEN,0,Temporary Parking Spot Closure,,TE-25-0095,TE-TRAFFIC,TE-PARKING
9412378,47054,2025/03/29 22:41:25+00,60,,,3rd Street NE,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0093,TE-TRAFFIC,TE-PARKING
9412380,47052,2025/03/29 00:33:42+00,250,,,300 West Main St,OPEN,0,Temporary Street/Sidewalk Closure,,TE-25-0092,TE-TRAFFIC,TE-STREETS
9412381,47051,2025/03/29 00:23:47+00,200,,E MAIN ST,221 E MAIN ST,CLOSED,0,Downtown Mall Vendor,,ZA-25-0044,ZNG-ZONING,ZNG-MALLVN
9412389,47043,2025/03/28 20:21:33+00,100,,243928,812 W MAIN ST,CLOSED,0,ADC/IPP COA,,HST25-0071,HST-HSTRC,HST-COA
9412398,47034,2025/03/28 18:35:38+00,0,,266109,305 4TH ST NW,CANCELLED,0,Temporary Parking Spot Closure,,TE-25-0088,TE-TRAFFIC,TE-PARKING
9412407,47025,2025/03/28 17:05:00+00,0,,246700,853 W MAIN ST UNIT 407,OPEN,0,Bond Release/Reduction,,PL-25-0052,PL-PLANNG,PL-BOND
9412439,46992,2025/03/26 01:48:05+00,375,,251017,218 W MARKET ST # 5,CLOSED,0,ADC/IPP COA,,HST25-0070,HST-HSTRC,HST-COA
9412444,46986,2025/03/25 21:24:08+00,1525,,260097,820 W MAIN ST,OPEN,0,Addition,A2 - Hospitality including Restaurants and Hotels,BC-25-0075,C-BLDG,C-ADD
9412448,46982,2025/03/25 16:42:49+00,40,,243168,417 E MAIN ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0080,TE-TRAFFIC,TE-PARKING
9412474,46955,2025/03/21 20:29:46+00,114.7,,256571,499 W MAIN ST,OPEN,0,Fire Suppression System,B - Business,F-25-0024,F-FIRE,F-SUPRESS
9412475,46954,2025/03/21 18:53:06+00,112.2,,145068,1193 5TH ST SW,OPEN,0,Electrical Other,B - Business,EC-25-0043,C-ELEC,C-ELECOTH
9412538,46889,2025/03/19 19:29:28+00,0,,228002,310 E MARKET ST UNIT A,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0068,TE-TRAFFIC,TE-PARKING
9412542,46885,2025/03/19 16:38:49+00,10,,219510,107 W MARKET ST,CLOSED,0,Partial Commercial Demolition,B - Business,DC-25-0004,C-DEMO,C-PARTDEMO
9412554,46873,2025/03/18 19:52:25+00,20,,240522,201 W MAIN ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0064,TE-TRAFFIC,TE-PARKING
9412632,46791,2025/03/12 07:27:26+00,0,,193407,115 W MAIN ST,CLOSED,0,Permit Parking Request,,TE-25-0053,TE-TRAFFIC,TE-PPREQ
9412662,46761,2025/03/08 02:26:43+00,173,,217063,310 E MAIN ST,OPEN,0,Asbestos Abatement,B - Business,BC-25-0059,C-BLDG,C-ASBEST
9412677,46746,2025/03/07 00:37:54+00,0,,E MAIN ST,E MAIN ST,CLOSED,0,Vehicular Access to Mall,,TE-25-0051,TE-TRAFFIC,TE-MALL
9412708,46714,2025/03/04 23:04:47+00,30,,,112/5TH STREET,EXPIRED,0,Temporary Street/Sidewalk Closure,,TE-25-0048,TE-TRAFFIC,TE-STREETS
9412717,46705,2025/03/04 19:59:16+00,0,,,112/5th street,CANCELLED,0,Temporary Street/Sidewalk Closure,,TE-25-0047,TE-TRAFFIC,TE-STREETS
9412719,46703,2025/03/04 19:24:34+00,0,,E MAIN ST,E MAIN ST,CLOSED,0,Vehicular Access to Mall,,TE-25-0045,TE-TRAFFIC,TE-MALL
9412736,46686,2025/03/03 19:47:41+00,86.5,,199803,110 2ND ST NW,OPEN,0,Modify Electrical Wiring System,A2 - Hospitality including Restaurants and Hotels,EC-25-0033,C-ELEC,C-ELECALT
9412753,46669,2025/02/27 22:53:02+00,0,,201370,1162 5TH ST SW,CLOSED,0,Sign,,ZA-25-0030,ZNG-ZONING,ZNG-SIGN
9412764,46657,2025/02/26 22:02:15+00,115.06,,202821,422 E MAIN ST,CLOSED,0,Deck,A2 - Hospitality including Restaurants and Hotels,BC-25-0057,C-BLDG,C-DECK
9412774,46647,2025/02/26 03:09:12+00,86.5,,204701,303 14TH ST NW APT 1,CLOSED,0,Add Electrical Wiring System,R5 - One and Two Family Dwellings,ER-25-0073,R-ELEC,R-ELECNEW
9412795,46626,2025/02/24 01:35:47+00,75,,207438,317 E WATER ST # 200,OPEN,0,Sign,,ZA-25-0027,ZNG-ZONING,ZNG-SIGN
9412810,46610,2025/02/21 18:53:07+00,140.05,,138483,321 E MAIN ST STE 300,OPEN,0,Plumbing Other,B - Business,PC-25-0013,C-PLUMB,C-PLMBOTH
9412843,46577,2025/02/18 03:01:42+00,162.98,,138483,321 E MAIN ST STE 300,OPEN,0,Fire Sprinkler Permit,B - Business,F-25-0019,F-FIRE,F-SPRINKLR
9412851,46569,2025/02/15 00:41:12+00,50,,195992,852 W MAIN ST APT STE 110,OPEN,0,Occupant Load,A2 - Hospitality including Restaurants and Hotels,BC-25-0049,C-BLDG,B-OCCLOAD
9412864,46556,2025/02/13 23:47:09+00,1680,,,E MARKET ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0028,TE-TRAFFIC,TE-PARKING
9412868,46552,2025/02/13 00:40:27+00,0,,,E MARKET ST,CLOSED,0,Temporary Street/Sidewalk Closure,,TE-25-0027,TE-TRAFFIC,TE-STREETS
9412871,46549,2025/02/12 23:43:20+00,0,,215878,915 W MAIN ST,CLOSED,0,Temporary Street/Sidewalk Closure,,TE-25-0025,TE-TRAFFIC,TE-STREETS
9412873,46547,2025/02/12 21:02:33+00,0,,215878,915 W MAIN ST,CANCELLED,0,Temporary Street/Sidewalk Closure,,TE-25-0024,TE-TRAFFIC,TE-STREETS
9412883,46537,2025/02/11 18:43:20+00,382.1,,193073,321 E MAIN ST STE 300,OPEN,0,Modify Electrical Wiring System,B - Business,EC-25-0027,C-ELEC,C-ELECALT
9412885,46535,2025/02/11 18:38:53+00,122.2,,205401,1131 5th Street SW,CLOSED,0,Single Appliance - Change Out,M - Retail,EC-25-0026,C-ELEC,C-ELECCO
9412910,46510,2025/02/07 00:13:18+00,324.85,,204701,303 14TH ST NW APT 1,CLOSED,0,Foundation Repair,R2 - Apartments/Fraternities and Sororities etc,BR-25-0084,R-BLDG,R-FOUND
9412955,46465,2025/02/03 23:26:13+00,100,,,422 E MAIN ST,CLOSED,0,Design Review Inquiries,,HST25-0062,HST-HSTRC,HST-DESGN
9412956,46464,2025/02/03 22:13:41+00,150.76,,191373,417 E MAIN ST,OPEN,0,Interior Renovations,A2 - Hospitality including Restaurants and Hotels,BC-25-0032,C-BLDG,C-INTRENO
9412969,46451,2025/02/01 00:03:56+00,10,,,240 W MAIN ST,CLOSED,0,Temporary Street/Sidewalk Closure,,TE-25-0014,TE-TRAFFIC,TE-STREETS
9412985,46429,2025/01/31 00:14:48+00,86.5,,194305,1135 5TH ST SW,CLOSED,0,Single Appliance - Change Out,M - Retail,EC-25-0016,C-ELEC,C-ELECCO
9412986,46428,2025/01/30 23:40:46+00,147.65,,194305,1135 5TH ST SW,CLOSED,0,Single Appliance - Change Out,M - Retail,MC-25-0004,C-MECH,C-MECHCO
9412992,46422,2025/01/30 21:14:20+00,154.33,,190952,323 2ND ST SE UNIT 301,CLOSED,0,Fire Alarm System,B - Business,F-25-0014,F-FIRE,F-ALARM
9412993,46421,2025/01/30 20:56:57+00,0,,,3rd ST NE between E Jefferson and E High Streets,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0013,TE-TRAFFIC,TE-PARKING
9413000,46414,2025/01/30 03:20:39+00,0,,,200 West Main Street,OPEN,0,ADC/IPP COA,,HST25-0061,HST-HSTRC,HST-COA
9413002,46412,2025/01/30 02:53:57+00,375,,214442,200 West Main Street,OPEN,0,ADC/IPP COA,,HST25-0060,HST-HSTRC,HST-COA
9413015,46394,2025/01/29 02:30:37+00,1800,,214442,200 West Main Street,OPEN,0,Special Exception Permit,,PL-25-0020,PL-PLANNG,PL-SPECEXC
9413032,46377,2025/01/28 20:01:42+00,100,,197367,1002 2ND ST SE,OPEN,0,Boundary Line Adjustment,,PL-25-0017,PL-PLANNG,PL-MINPLAT
9413038,46371,2025/01/27 23:15:47+00,100,,212371,1317 E MARKET ST UNIT B,OPEN,0,Boundary Line Adjustment,,PL-25-0015,PL-PLANNG,PL-MINPLAT
9413047,46361,2025/01/27 18:15:28+00,346.4,,193272,1315 E MARKET ST,OPEN,0,Deck,R5 - One and Two Family Dwellings,BR-25-0063,R-BLDG,R-DECK
9413074,46333,2025/01/21 20:19:04+00,75,,196996,123 E MAIN ST,CLOSED,0,Sign,,ZA-25-0006,ZNG-ZONING,ZNG-SIGN
9413086,46321,2025/01/17 22:16:07+00,186.5,,191913,207 2ND ST NW UNIT C,OPEN,0,Vehicle Charging Station,R5 - One and Two Family Dwellings,ER-25-0035,R-ELEC,R-VEHCHRG
9413099,46308,2025/01/17 20:04:25+00,180,,,4TH ST SW,CLOSED,0,Temporary Street/Sidewalk Closure,,TE-25-0008,TE-TRAFFIC,TE-STREETS
9413108,46299,2025/01/17 18:57:35+00,3400.7,,211023,500 E MARKET ST,OPEN,0,Mechanical System Other,B - Business,MC-25-0003,C-MECH,C-MSYSOTH
9413134,46273,2025/01/16 21:19:03+00,100,,209229,605 E MAIN ST,CLOSED,0,ADC/IPP COA,,HST25-0056,HST-HSTRC,HST-COA
9413143,46264,2025/01/15 23:19:31+00,86.5,,192932,414 E MARKET ST UNIT A,CLOSED,0,Other,,BC-25-0013,C-BLDG,C-BLDGOTH
9413148,46259,2025/01/15 19:23:09+00,99.35,,193231,319 E MAIN ST,OPEN,0,Fire Suppression System,A2 - Hospitality including Restaurants and Hotels,F-25-0008,F-FIRE,F-SUPRESS
9413154,46253,2025/01/15 02:41:46+00,552.05,,204454,323 2ND ST SE,CLOSED,0,Mechanical Other,B - Business,MC-25-0001,C-MECH,C-MECHOTH
9413162,46245,2025/01/14 23:31:35+00,86.5,,146213,1150 5TH ST SW,CANCELLED,0,Fire Alarm System,,F-25-0007,F-FIRE,F-ALARM
9413172,46235,2025/01/14 00:34:00+00,128.07,,204454,323 2ND ST SE UNIT 500,CLOSED,0,Fire Alarm System,B - Business,F-25-0006,F-FIRE,F-ALARM
9413180,46227,2025/01/11 02:11:02+00,10836.5,,150577,310 E MAIN ST,OPEN,0,Interior Renovations,B - Business,BC-25-0009,C-BLDG,C-INTRENO
9413181,46226,2025/01/11 00:28:00+00,1625.9,,149973,323 2nd ST SE 5TH FLOOR,CLOSED,0,Modify Electrical Wiring System,B - Business,EC-25-0005,C-ELEC,C-ELECALT
9413182,46225,2025/01/10 23:07:44+00,200,,E MAIN ST,E MAIN ST,CLOSED,0,Downtown Mall Vendor,,ZA-25-0002,ZNG-ZONING,ZNG-MALLVN
9413184,46223,2025/01/10 22:31:56+00,121.49,,204454,323 2ND ST SE,CLOSED,0,Fire Sprinkler Permit,B - Business,F-25-0005,F-FIRE,F-SPRINKLR
9413185,46222,2025/01/10 22:21:34+00,175.75,,212767,321 W MAIN ST,CLOSED,0,Gas Other,B - Business,GC-25-0002,C-GAS,C-GASOTH
9413190,46217,2025/01/10 19:39:39+00,125,,138483,321 E MAIN ST STE 300,CLOSED,0,ADC/IPP COA,,HST25-0054,HST-HSTRC,HST-COA
9413235,46168,2025/01/07 18:02:59+00,100,,150336,499 W MAIN ST,OPEN,0,Development Plan Review - Minor,,PL-25-0001,PL-PLANNG,PL-DEVPLMI
9413253,46150,2025/01/04 00:32:56+00,1554.5,,140447,1329 E MARKET ST,OPEN,0,Basement - Finishing,R5 - One and Two Family Dwellings,BR-25-0005,R-BLDG,R-BASEMENT
9413260,46143,2025/01/03 18:09:14+00,125,,150336,499 W MAIN ST,CLOSED,0,ADC/IPP COA,,HST25-0052,HST-HSTRC,HST-COA
9413270,46133,2025/01/02 21:53:45+00,789.8,,150336,499 W MAIN ST,OPEN,0,Addition,A2 - Hospitality including Restaurants and Hotels,BC-25-0002,C-BLDG,C-ADD
9413271,46132,2025/01/02 21:33:25+00,128.38,,136399,971 2ND ST SE,OPEN,0,Site Lighting,,EC-25-0001,C-ELEC,C-SITELGHT
9413273,46130,2025/01/02 18:38:46+00,310.7,,150336,499 W MAIN ST,OPEN,0,Interior Renovations,A2 - Hospitality including Restaurants and Hotels,BC-25-0001,C-BLDG,C-INTRENO
9413274,46129,2024/12/31 22:59:17+00,129.34,,154772,605 E MAIN ST,OPEN,0,Electrical Other,B - Business,EC-24-0133,C-ELEC,C-ELECOTH
9413292,46111,2024/12/28 00:37:10+00,25,,E MAIN ST,DOWNTOWN MALL,CLOSED,0,Downtown Mall Vendor,,ZA-24-0289,ZNG-ZONING,ZNG-MALLVN
9413321,46082,2024/12/20 21:26:25+00,3360.92,,163685,424 4th St SE,OPEN,0,Add Electrical Wiring System,R2 - Apartments/Fraternities and Sororities etc,EC-24-0131,C-ELEC,C-ELECNEW
9413322,46081,2024/12/20 21:20:43+00,3360.92,,163684,450 4th St SE,OPEN,0,Add Electrical Wiring System,,EC-24-0130,C-ELEC,C-ELECNEW
9413323,46080,2024/12/20 21:16:11+00,3360.92,,163686,455 4th St SE,OPEN,0,Add Electrical Wiring System,R2 - Apartments/Fraternities and Sororities etc,EC-24-0129,C-ELEC,C-ELECNEW
9413341,46058,2024/12/19 21:12:48+00,99.71,,138246,455 2ND ST SE # 100,CLOSED,0,Add Electrical Wiring System,,EC-24-0128,C-ELEC,C-ELECNEW
9413362,46037,2024/12/18 00:15:07+00,200,,143356,233 4TH ST NW UNIT M,CLOSED,0,Temporary Parking Spot Closure,,TE-24-0155,TE-TRAFFIC,TE-PARKING
9413368,46028,2024/12/17 17:58:53+00,60,2024/12/17 18:39:22+00,,Dice St @ 5th St SW,ISSUE,0,Street Cut Permit,,EG-24-0060,EG-PWENG,EG-STREET
9413372,46023,2024/12/16 20:00:24+00,75,,143937,400 E MAIN ST,CLOSED,0,Sign,,ZA-24-0285,ZNG-ZONING,ZNG-SIGN
