OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9449799,9442,2011/06/15 08:00:00+00,142.8,2011/06/15 08:00:00+00,280020100,101 E WATER ST,CLOSED,0,Wiring,,EN-11-0227,B-CONVERT,B-WIRING
9449807,9434,2011/06/13 08:00:00+00,224.6,2011/06/13 08:00:00+00,280034000,208 E MAIN ST,CLOSED,0,Wiring,,EN-11-0219,B-CONVERT,B-WIRING
9449861,9380,2011/04/28 08:00:00+00,81.6,2011/04/28 08:00:00+00,280041000,310  E MAIN ST STE 110,CLOSED,0,Wiring,,EN-11-0165,B-CONVERT,B-WIRING
9449882,9359,2011/04/19 08:00:00+00,102.0,2011/04/19 08:00:00+00,320171000,601 W MAIN ST,CLOSED,0,New Service,,EN-11-0144,B-CONVERT,B-NS
9449883,9358,2011/04/19 08:00:00+00,102.0,2011/04/19 08:00:00+00,290006000,600 W MAIN ST,CLOSED,0,New Service,,EN-11-0143,B-CONVERT,B-NS
9449887,9354,2011/04/18 08:00:00+00,244.8,2011/04/18 08:00:00+00,2800841C0,250 W MAIN ST 104,CLOSED,0,Wiring,,EN-11-0139,B-CONVERT,B-WIRING
9449890,9351,2011/04/14 08:00:00+00,178.5,2011/04/14 08:00:00+00,330249000,107 E MAIN ST,CLOSED,0,Wiring,,EN-11-0136,B-CONVERT,B-WIRING
9449896,9345,2011/04/07 08:00:00+00,204.0,2011/04/07 08:00:00+00,300002000,810 W MAIN ST,ISSUE,0,Wiring,,EN-11-0130,B-CONVERT,B-WIRING
9449948,9293,2011/02/28 10:00:00+00,158.1,2011/02/28 10:00:00+00,530059000,401 E MAIN ST,EXPIRED,0,Wiring,,EN-11-0078,B-CONVERT,B-WIRING
9449952,9289,2011/02/23 10:00:00+00,255.0,2011/03/11 10:00:00+00,330155L00,235 W MAIN ST,ISSUE,0,Wiring,,EN-11-0074,B-CONVERT,B-WIRING
